Year,Quarter,Month,Day,Cases,Distric
2021,Qtr 1,January,1,98,Ampara
2021,Qtr 1,January,1,76,Anuradhapura
2021,Qtr 1,January,1,165,Badulla
2021,Qtr 1,January,1,211,Batticoloa
2021,Qtr 1,January,1,5884,Colombo
2021,Qtr 1,January,1,763,Galle
2021,Qtr 1,January,1,3873,Gampaha
2021,Qtr 1,January,1,219,Hambantota
2021,Qtr 1,January,1,70,Jaffna
2021,Qtr 1,January,1,372,Kalmunai
2021,Qtr 1,January,1,1403,Kalutara
2021,Qtr 1,January,1,1143,Kandy
2021,Qtr 1,January,1,564,Kegalle
2021,Qtr 1,January,1,18,Kilinochchi
2021,Qtr 1,January,1,592,Kurunegala
2021,Qtr 1,January,1,122,Mannar
2021,Qtr 1,January,1,393,Matale
2021,Qtr 1,January,1,531,Matara
2021,Qtr 1,January,1,136,Moneragala
2021,Qtr 1,January,1,10,Mullativu
2021,Qtr 1,January,1,257,Nuwaraeliya
2021,Qtr 1,January,1,99,Polonnaruwa
2021,Qtr 1,January,1,233,Puttalam
2021,Qtr 1,January,1,599,Ratnapura
2021,Qtr 1,January,1,319,Trincomalee
2021,Qtr 1,January,1,285,Vavunia
2021,Qtr 1,February,1,139,Ampara
2021,Qtr 1,February,1,262,Anuradhapura
2021,Qtr 1,February,1,924,Badulla
2021,Qtr 1,February,1,138,Batticoloa
2021,Qtr 1,February,1,4599,Colombo
2021,Qtr 1,February,1,637,Galle
2021,Qtr 1,February,1,3736,Gampaha
2021,Qtr 1,February,1,259,Hambantota
2021,Qtr 1,February,1,128,Jaffna
2021,Qtr 1,February,1,150,Kalmunai
2021,Qtr 1,February,1,1806,Kalutara
2021,Qtr 1,February,1,1472,Kandy
2021,Qtr 1,February,1,366,Kegalle
2021,Qtr 1,February,1,72,Kilinochchi
2021,Qtr 1,February,1,1042,Kurunegala
2021,Qtr 1,February,1,90,Mannar
2021,Qtr 1,February,1,373,Matale
2021,Qtr 1,February,1,658,Matara
2021,Qtr 1,February,1,192,Moneragala
2021,Qtr 1,February,1,11,Mullativu
2021,Qtr 1,February,1,396,Nuwaraeliya
2021,Qtr 1,February,1,61,Polonnaruwa
2021,Qtr 1,February,1,451,Puttalam
2021,Qtr 1,February,1,845,Ratnapura
2021,Qtr 1,February,1,71,Trincomalee
2021,Qtr 1,February,1,41,Vavunia
2021,Qtr 1,March,1,45,Ampara
2021,Qtr 1,March,1,145,Anuradhapura
2021,Qtr 1,March,1,278,Badulla
2021,Qtr 1,March,1,118,Batticoloa
2021,Qtr 1,March,1,1791,Colombo
2021,Qtr 1,March,1,474,Galle
2021,Qtr 1,March,1,1779,Gampaha
2021,Qtr 1,March,1,131,Hambantota
2021,Qtr 1,March,1,468,Jaffna
2021,Qtr 1,March,1,67,Kalmunai
2021,Qtr 1,March,1,522,Kalutara
2021,Qtr 1,March,1,295,Kandy
2021,Qtr 1,March,1,262,Kegalle
2021,Qtr 1,March,1,25,Kilinochchi
2021,Qtr 1,March,1,366,Kurunegala
2021,Qtr 1,March,1,55,Mannar
2021,Qtr 1,March,1,195,Matale
2021,Qtr 1,March,1,253,Matara
2021,Qtr 1,March,1,171,Moneragala
2021,Qtr 1,March,1,19,Mullativu
2021,Qtr 1,March,1,207,Nuwaraeliya
2021,Qtr 1,March,1,27,Polonnaruwa
2021,Qtr 1,March,1,104,Puttalam
2021,Qtr 1,March,1,815,Ratnapura
2021,Qtr 1,March,1,64,Trincomalee
2021,Qtr 1,March,1,61,Vavunia
2021,Qtr 2,April,1,39,Ampara
2021,Qtr 2,April,1,109,Anuradhapura
2021,Qtr 2,April,1,61,Badulla
2021,Qtr 2,April,1,22,Batticoloa
2021,Qtr 2,April,1,2754,Colombo
2021,Qtr 2,April,1,356,Galle
2021,Qtr 2,April,1,1758,Gampaha
2021,Qtr 2,April,1,168,Hambantota
2021,Qtr 2,April,1,638,Jaffna
2021,Qtr 2,April,1,22,Kalmunai
2021,Qtr 2,April,1,887,Kalutara
2021,Qtr 2,April,1,404,Kandy
2021,Qtr 2,April,1,70,Kegalle
2021,Qtr 2,April,1,16,Kilinochchi
2021,Qtr 2,April,1,1810,Kurunegala
2021,Qtr 2,April,1,21,Mannar
2021,Qtr 2,April,1,465,Matale
2021,Qtr 2,April,1,170,Matara
2021,Qtr 2,April,1,266,Moneragala
2021,Qtr 2,April,1,23,Mullativu
2021,Qtr 2,April,1,220,Nuwaraeliya
2021,Qtr 2,April,1,28,Polonnaruwa
2021,Qtr 2,April,1,391,Puttalam
2021,Qtr 2,April,1,309,Ratnapura
2021,Qtr 2,April,1,177,Trincomalee
2021,Qtr 2,April,1,47,Vavunia
2021,Qtr 2,May,1,1063,Ampara
2021,Qtr 2,May,1,1768,Anuradhapura
2021,Qtr 2,May,1,1247,Badulla
2021,Qtr 2,May,1,771,Batticoloa
2021,Qtr 2,May,1,15050,Colombo
2021,Qtr 2,May,1,4718,Galle
2021,Qtr 2,May,1,11761,Gampaha
2021,Qtr 2,May,1,1405,Hambantota
